DataInicial,DataFinal,Cd_AnoExecucao,Cd_Exercicio,Administracao,Cd_Orgao,Ds_Orgao,Cd_Unidade,Ds_Unidade,ProjetoAtividade,Ds_Projeto_Atividade,Cd_Despesa,Ds_Despesa,Sld_Orcado_Ano,Vl_Atualizado,Vl_EmpenhadoLiquido,Vl_Liquidado
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2115,Auxílio- Refeição,33904600,Auxílio-Alimentação,1000.0,0.0,0.0,0.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33901400,Diárias - Civil,10000.0,5000.0,0.0,0.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31909400,Indenizações e Restituições Trabalhistas,1500000.0,0.0,0.0,0.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2170,"Aquisição de Materiais, Equipamentos e Serviços de Informática",33903000,Material de Consumo,1000.0,1000.0,1000.0,1000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2170,"Aquisição de Materiais, Equipamentos e Serviços de Informática",33903900,Outros Serviços de Terceiros - Pessoa Jurídica,270000.0,230000.0,194000.0,194000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2170,"Aquisição de Materiais, Equipamentos e Serviços de Informática",44905200,Equipamentos e Material Permanente,1000.0,0.0,0.0,0.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2102,Aquisição e Locação de Veículos para a Frota,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,999000.0,999000.0,993000.0,993000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2102,Aquisição e Locação de Veículos para a Frota,44905200,Equipamentos e Material Permanente,1000.0,0.0,0.0,0.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2009,Parlamento Jovem Municipal - E 1929,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,30000.0,30000.0,15000.0,15000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2010,"Cursos, Simpósios, Congressos e Outros Eventos Externos",33903900,Outros Serviços de Terceiros - Pessoa Jurídica,1000.0,0.0,0.0,0.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2011,"Eventos, Concursos, Solenidades e Premiações",33903900,Outros Serviços de Terceiros - Pessoa Jurídica,100000.0,0.0,0.0,0.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,1002,Comis. Extraordinária Perman.Direitos Cidadania CMSP - Estrut.Esp.Fís,44905100,Obras e Instalações,1000.0,0.0,0.0,0.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,1001,Exame Analítico do Sistema Transp. Coletivo Ônibus do Município de SP,44903500,Serviços de Consultoria,1000.0,0.0,0.0,0.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2008,Fundo Especial de Despesas da Câmara Municipal de São Paulo,33903000,Material de Consumo,350000.0,350000.0,350000.0,350000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2008,Fundo Especial de Despesas da Câmara Municipal de São Paulo,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,350000.0,3238500.0,3238500.0,3238500.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2008,Fundo Especial de Despesas da Câmara Municipal de São Paulo,44905200,Equipamentos e Material Permanente,1490000.0,700000.0,700000.0,700000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903600,Outros Serviços de Terceiros - Pessoa Física,1000.0,1000.0,1000.0,1000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2006,Aquisição de Vale Transporte,33903900,Outros Serviços de Terceiros - Pessoa Jurídica,620000.0,400000.0,400000.0,400000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903300,Passagens e Despesas com Locomoção,50000.0,0.0,0.0,0.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903200,Material de Distribuição Gratuita,20000.0,6000.0,6000.0,6000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903100,"Premiações Culturais, Artísticas, Científicas, Desport. e Outras",130000.0,60000.0,52500.0,52500.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33903000,Material de Consumo,1550000.0,1700000.0,1600000.0,1600000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,33900800,Outros Benefícios Assistenciais,200000.0,310000.0,310000.0,310000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31909200,Despesas de Exercícios Anteriores,4500000.0,927000.0,927000.0,927000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31909100,Sentenças Judiciais,1000.0,1000.0,0.0,0.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31901300,Obrigações Patronais,18850000.0,17250000.0,17250000.0,17250000.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31901100,Vencimentos e Vantagens Fixas - Pessoal Civil,116000000.0,118974724.0,118805724.0,118805724.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31900900,Salário Família,7380.0,7380.0,7380.0,7380.0
2004-01-01,2004-12-31 23:59:59,2004.0,2004.0,Direta,09,Camara Municipal,10,Câmara Municipal,2000,Administração da Câmara,31900300,Pensões,32463.0,32463.0,32000.0,32000.0
