Órgão;Fornecedor;CNPJ;Objeto;Valor (R$);Modalidade;Contrato;Data de Assinatura;Vigência(Dias);Licitação
SUBPREFEITURA: ARICANDUVA/FORMOSA/CARRÃO;AMAZONIA AMBIENTAL MANUTENÇÃO E CONSERVAÇÃO DE PAI;00.935.969/0001-54;Contratação de empresa especializada em prestação de serviço de locação de 01 (um) caminhão com carroceria de madeira, com capacidade de 06 (seis) toneladas, ano de fabricação 1999 ou mais recente, incluindo motorista e combustível, por um período de 12 (doze) meses, total de 192 horas/mês.;68.636,16;PREGÃO PRESENCIAL EXTRATO DE CONTRATO;2008-0.223.108-6;10/10/2008;360;017/SP-AF/2008;
SUBPREFEITURA: ARICANDUVA/FORMOSA/CARRÃO;CONCRELAR CONSTRUÇÕES E COMÉRCIO LTDA;48.765.747/0001-67;OBJETO: CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS DE LIGAÇÃO VIÁRIA, NA AV. JOÃO XXIII A AV. FLORE DA VILA FORMOSA, EXTENSÃO DA RUA GASPAR VIANA.;516.000,33;TOMADA DE PREÇOS EXTRATO DE CONTRATO;006/CPL /SP-AF/2009;1/6/2009;180;01/CPL/SP-AF/2009;
SUBPREFEITURA: ARICANDUVA/FORMOSA/CARRÃO;LEGNINI SILVA & CAMARA CONSTRUÇÕES E COMÉRCIO LTDA;10.592.670/0001-06;CONTRATAÇÃO DE EMPRESA PARA ELABORAÇÃO DE PROJETO E EXECUÇÃO DE OBRAS PARA CONSTRUÇÃO DE PONTE E ESCADA ESTRUTURAL (TRAVESSIA DE PEDESTRE), SOBRE O CÓRREGO RAPADURA, TRECHO: ENTRE A RUA XIRIRICA E A TRAVESSA PALMA DE SANTA RITA, SOB JURISDIÇÃO DESTA SUBPREFEITURA.;55.226,42;CONVITE EXTRATO DE CONTRATO;008/CPL/SP-AF/2009;15/7/2009;90;002/SP-AF/CPL/2009;
SUBPREFEITURA: ARICANDUVA/FORMOSA/CARRÃO;LEGNINI SILVA & CAMARA CONSTRUÇÕES E COMÉRCIO LTDA;10.592.670/0001-06;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS E OBRAS DE REFORMA DO PASSEIO PÚBLICO, NO ENTORNO DA EMEF BARTOLOMEU LOURENÇO DE GUSMÃO, LOCALIZADO ENTRE AS RUAS: PICINGUABA, XIRIRICA, SABOÓ E CANGIOCA, VILA SANTA ISABEL;97.335,64;CONVITE EXTRATO DE CONTRATO;014/CPL/SP-AF/2009;23/12/2009;60;003/SP-AF/CPL/2009;
SUBPREFEITURA: ARICANDUVA/FORMOSA/CARRÃO;LEGNINI SILV & CAMARA CONSTRUÇÕES E COMÉRCIO LTDA;10.592.670/0001-06;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS E OBRAS DE MANUTENÇÃO DO PLAYGROUND, INSTALADO DENTRO DA ÁREA DO CLUBE DA COMUNIDADE VICENTE ÍTALO FEOLA (VILA MANCHESTER), LOCALIZADO NA PRAÇA HAROLDO DALTRO, S/Nº - VILA MANCHESTER, SOB JURISDIÇÃO DESTA SUBPREFEITURA;107.330,98;CONVITE EXTRATO DE CONTRATO;015/CPL/SP-AF/2009;23/12/2009;60;004/SP-AF/CPL/2009;
SUBPREFEITURA: ARICANDUVA/FORMOSA/CARRÃO;GUIMACON ENGENHARIA E CONSTRUÇÕES LTDA;61.073.334/0001-80;OBJETO: CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS E OBRAS DE CANALIZAÇÃO DO CÓRREGO CAPÃO DO EMBIRA. LOCAL: TRECHO COMPREENDIDO ENTRE A RUA PIERROTINHO E RUA FABIO, SOB JURISDIÇÃO DESTA SUBPREFEITURA.;1.192.982,37;TOMADA DE PREÇOS EXTRATO DE CONTRATO;018/CPL/SP-AF/2009;22/12/2009;150;02/CPL/SP-AF/2009;
SUBPREFEITURA: ARICANDUVA/FORMOSA/CARRÃO;CODA ENGENHARIA LTDA;07.273.747/0001-62;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS DE ILUMINAÇÃO PÚBLICA, NA PRAÇA NELSON JOSÉ SIGRIST ? JARDIM SANTO EDUARDO, SOB JURISDIÇÃO DESTA SUBPREFEITURA.;83.952,78;CONVITE EXTRATO DE CONTRATO;016/CPL/SP-AF/2009;21/12/2009;60;005/SP-AF/CPL /20009;
SUBPREFEITURA: ARICANDUVA/FORMOSA/CARRÃO;CODAL ENGENHARIA LTDA.;07.273.747/0001-62;CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS DE ILUMINAÇÃO PÚBLICA, NA PRAÇA BOM SAMARITANO, TRECHO ENTRE AS RUAS JOÃO GALLI E LAZARO GONÇALVES FRAGA ? VILA FORMOSA, SOB JURISDIÇÃO DESTA SUBPREFEITURA.;43.707,22;CONVITE EXTRATO DE CONTRATO;017/CPL/SP-AF/2009;21/12/2009;60;006/SP-AF/CPL /2009;
SEGURANÇA URBANA;INBRA-TÊXTIL INDÚSTRIA E COM. DE TECIDOS TÉC.LTDA;04.729.192/0001-22;Aquisição de coletes a prova de balas modelos masculino e feminino.;1.354.974,00;PREGÃO PRESENCIAL EXTRATO DE CONTRATO;04/SMSU/2009;8/4/2009;60;001/SMSU/2009;
SEGURANÇA URBANA;INBRA-TÊXTIL INDÚSTRIA E COM. DE TECIDOS TÉC.LTDA;04.729.192/0001-22;Aquisição de coletes a prova de balas modelos masculino e feminino.;1.354.974,00;PREGÃO PRESENCIAL EXTRATO DE CONTRATO;04/SMSU/2009;8/4/2009;60;001/SMSU/2009;
