datainicial,datafinal,cd_anoexecucao,cd_exercicio,administracao,cd_orgao,sigla_orgao,ds_orgao,cd_unidade,ds_unidade,cd_funcao,ds_funcao,cd_subfuncao,ds_subfuncao,cd_programa,ds_programa,pa,papa,projetoatividade,ds_projeto_atividade,cd_despesa,ds_despesa,categoria_despesa,ds_categoria,grupo_despesa,ds_grupo,cd_modalidade,ds_modalidade,cd_elemento,cd_fonte,ds_fonte,sld_orcado_ano,vl_atualizado,vl_congelado,vl_descongelado,vl_congeladoliquido,vl_reservado,vl_cancelado,vl_reservadoliquido,vl_empenhado,vl_anulado,vl_empenhadoliquido,vl_liquidado,vl_pago
2015-01-01,2015-09-21,2015,2015,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33909200,Despesas de Exercícios Anteriores,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,92,0,Tesouro Municipal,0.0,21126284.61,0.0,0.0,0.0,21737146.32,614348.09,21122798.23,22359839.14,1237040.91,21122798.23,21122798.23,21122798.23
2015-01-01,2015-09-21,2015,2015,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Projeto,Projeto,1390,E5551 - Implantação do Centro de Parto Normal no Hospital Alípio Correa Neto,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,0,Tesouro Municipal,300000.0,0.0,300000.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-09-21,2015,2015,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",44909200,Despesas de Exercícios Anteriores,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,92,6,Recursos Próprios da Administração Indireta,0.0,4867.11,0.0,0.0,0.0,4867.11,0.0,4867.11,4867.11,0.0,4867.11,4867.11,4867.11
2015-01-01,2015-09-21,2015,2015,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,2361,E3762 - Hospital Municipal Professor Doutor Alípio Correa Netto - CNPJ: 46.392.148/0026-78. Buco-Maxilo,33903900,Outros Serviços de Terceiros -Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,39,0,Tesouro Municipal,80000.0,0.0,80000.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-09-21,2015,2015,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,33903000,Material de Consumo,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,30,6,Recursos Próprios da Administração Indireta,20000.0,20000.0,0.0,0.0,0.0,6488.48,0.0,6488.48,6488.48,0.0,6488.48,0.0,0.0
2015-01-01,2015-09-21,2015,2015,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Projeto,Projeto,1382,E1342 - Hospital Municipal do Campo Limpo Dr. Fernando Mauro Pires Rocha - Instalação de Sistema de Ar Condicionado na UTI,44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,0,Tesouro Municipal,500000.0,500000.0,500000.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-09-21,2015,2015,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Projeto,Projeto,3380,"Reforma, Recuperação e Adequação do Hospital Municipal Dr. Arthur Ribeiro de Saboya",44903900,Outros Serviços de Terceiros - Pessoa Jurídica,4,Despesas de Capital,4,INVESTIMENTOS,90,Aplicações Diretas,39,0,Tesouro Municipal,1357760.0,1357760.0,1357760.0,0.0,1357760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-09-21,2015,2015,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33903000,Material de Consumo,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,30,0,Tesouro Municipal,3000000.0,3438185.0,0.0,0.0,0.0,6557526.54,3120541.89,3436984.65,4968408.73,1828875.33,3139533.4,1658377.11,1612900.67
2015-01-01,2015-09-21,2015,2015,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,122,Administração Geral,3024,Suporte Administrativo,Atividade,Atividade,2100,Administração da Unidade,33903600,Outros Serviços de Terceiros - Pessoa Física,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,90,Aplicações Diretas,36,0,Tesouro Municipal,16200000.0,15436347.22,4413811.87,0.0,4413811.87,10986230.46,0.0,10986230.46,10986230.46,0.0,10986230.46,6846070.02,6846070.02
2015-01-01,2015-09-21,2015,2015,Administração Indireta,1,AHM,Autarquia Hospitalar Municipal,10,Autarquia Hospitalar Municipal,10,Saúde,302,Assistência Hospitalar e Ambulatorial,3003,Ações e serviços da saúde,Atividade,Atividade,4103,"Operação e Manutenção das Unidades Hospitalares, Pronto Socorros e Pronto Atendimento",33503900,Outros Serviços de Terceiros - Pessoa Jurídica,3,Despesas Correntes,3,OUTRAS DESPESAS CORRENTES,50,Transferências a Instituições Privadas sem fins Lucrativos,39,0,Tesouro Municipal,100000000.0,138941005.87,0.0,0.0,0.0,138941005.87,0.0,138941005.87,138941005.87,0.0,138941005.87,131970389.57,131970389.57
