Descrição_Categoria_Código,Textbox112,Textbox113,Descrição_Fonte_Código,Textbox98,Textbox99,Descrição_Especificação_Código,Textbox86,Textbox87,Descrição_Rubrica_Código,Textbox66,Textbox67,Descrição_Alínea_Código,Textbox55,Textbox56,Descrição_Sub_Alínea_Código,Textbox108,Textbox109,Valor_Previsto_Receita_Anual1,Valor_Realizado_Receita,Textbox32,Textbox33
1 - RECEITAS CORRENTES,"R$ 22.436.612.174,00","R$ 22.705.570.022,61",1.1 - RECEITA TRIBUTÁRIA,"R$ 9.664.054.000,00","R$ 10.358.606.571,53",1.1.1 - IMPOSTOS,"R$ 9.402.524.000,00","R$ 10.080.428.043,92",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.184.009.000,00","R$ 4.475.178.261,11",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 2.964.559.000,00","R$ 2.922.838.705,26",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 2.830.996.000,00","R$ 2.792.308.439,54","R$ 235.916.333,33","R$ 78.548.657,40","R$ 23.493.131.464,00","R$ 22.406.672.753,85"
1 - RECEITAS CORRENTES,"R$ 22.436.612.174,00","R$ 22.705.570.022,61",1.1 - RECEITA TRIBUTÁRIA,"R$ 9.664.054.000,00","R$ 10.358.606.571,53",1.1.1 - IMPOSTOS,"R$ 9.402.524.000,00","R$ 10.080.428.043,92",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.184.009.000,00","R$ 4.475.178.261,11",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 2.964.559.000,00","R$ 2.922.838.705,26",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 2.830.996.000,00","R$ 2.792.308.439,54","R$ 235.916.333,33","R$ 825.577.756,80","R$ 23.493.131.464,00","R$ 22.406.672.753,85"
1 - RECEITAS CORRENTES,"R$ 22.436.612.174,00","R$ 22.705.570.022,61",1.1 - RECEITA TRIBUTÁRIA,"R$ 9.664.054.000,00","R$ 10.358.606.571,53",1.1.1 - IMPOSTOS,"R$ 9.402.524.000,00","R$ 10.080.428.043,92",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.184.009.000,00","R$ 4.475.178.261,11",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 2.964.559.000,00","R$ 2.922.838.705,26",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 2.830.996.000,00","R$ 2.792.308.439,54","R$ 235.916.333,33","R$ 244.987.716,21","R$ 23.493.131.464,00","R$ 22.406.672.753,85"
1 - RECEITAS CORRENTES,"R$ 22.436.612.174,00","R$ 22.705.570.022,61",1.1 - RECEITA TRIBUTÁRIA,"R$ 9.664.054.000,00","R$ 10.358.606.571,53",1.1.1 - IMPOSTOS,"R$ 9.402.524.000,00","R$ 10.080.428.043,92",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.184.009.000,00","R$ 4.475.178.261,11",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 2.964.559.000,00","R$ 2.922.838.705,26",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 2.830.996.000,00","R$ 2.792.308.439,54","R$ 235.916.333,33","R$ 218.645.634,86","R$ 23.493.131.464,00","R$ 22.406.672.753,85"
1 - RECEITAS CORRENTES,"R$ 22.436.612.174,00","R$ 22.705.570.022,61",1.1 - RECEITA TRIBUTÁRIA,"R$ 9.664.054.000,00","R$ 10.358.606.571,53",1.1.1 - IMPOSTOS,"R$ 9.402.524.000,00","R$ 10.080.428.043,92",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.184.009.000,00","R$ 4.475.178.261,11",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 2.964.559.000,00","R$ 2.922.838.705,26",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 2.830.996.000,00","R$ 2.792.308.439,54","R$ 235.916.333,33","R$ 184.188.431,88","R$ 23.493.131.464,00","R$ 22.406.672.753,85"
1 - RECEITAS CORRENTES,"R$ 22.436.612.174,00","R$ 22.705.570.022,61",1.1 - RECEITA TRIBUTÁRIA,"R$ 9.664.054.000,00","R$ 10.358.606.571,53",1.1.1 - IMPOSTOS,"R$ 9.402.524.000,00","R$ 10.080.428.043,92",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.184.009.000,00","R$ 4.475.178.261,11",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 2.964.559.000,00","R$ 2.922.838.705,26",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 2.830.996.000,00","R$ 2.792.308.439,54","R$ 235.916.333,33","R$ 204.342.805,87","R$ 23.493.131.464,00","R$ 22.406.672.753,85"
1 - RECEITAS CORRENTES,"R$ 22.436.612.174,00","R$ 22.705.570.022,61",1.1 - RECEITA TRIBUTÁRIA,"R$ 9.664.054.000,00","R$ 10.358.606.571,53",1.1.1 - IMPOSTOS,"R$ 9.402.524.000,00","R$ 10.080.428.043,92",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.184.009.000,00","R$ 4.475.178.261,11",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 2.964.559.000,00","R$ 2.922.838.705,26",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 2.830.996.000,00","R$ 2.792.308.439,54","R$ 235.916.333,33","R$ 206.134.851,71","R$ 23.493.131.464,00","R$ 22.406.672.753,85"
1 - RECEITAS CORRENTES,"R$ 22.436.612.174,00","R$ 22.705.570.022,61",1.1 - RECEITA TRIBUTÁRIA,"R$ 9.664.054.000,00","R$ 10.358.606.571,53",1.1.1 - IMPOSTOS,"R$ 9.402.524.000,00","R$ 10.080.428.043,92",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.184.009.000,00","R$ 4.475.178.261,11",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 2.964.559.000,00","R$ 2.922.838.705,26",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 2.830.996.000,00","R$ 2.792.308.439,54","R$ 235.916.333,33","R$ 195.116.856,45","R$ 23.493.131.464,00","R$ 22.406.672.753,85"
1 - RECEITAS CORRENTES,"R$ 22.436.612.174,00","R$ 22.705.570.022,61",1.1 - RECEITA TRIBUTÁRIA,"R$ 9.664.054.000,00","R$ 10.358.606.571,53",1.1.1 - IMPOSTOS,"R$ 9.402.524.000,00","R$ 10.080.428.043,92",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.184.009.000,00","R$ 4.475.178.261,11",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 2.964.559.000,00","R$ 2.922.838.705,26",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 2.830.996.000,00","R$ 2.792.308.439,54","R$ 235.916.333,33","R$ 204.447.184,93","R$ 23.493.131.464,00","R$ 22.406.672.753,85"
1 - RECEITAS CORRENTES,"R$ 22.436.612.174,00","R$ 22.705.570.022,61",1.1 - RECEITA TRIBUTÁRIA,"R$ 9.664.054.000,00","R$ 10.358.606.571,53",1.1.1 - IMPOSTOS,"R$ 9.402.524.000,00","R$ 10.080.428.043,92",1.1.1.2 - IMPOSTOS S/ O PATRIMÔNIO E A RENDA,"R$ 4.184.009.000,00","R$ 4.475.178.261,11",1.1.1.2.02 - IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URB,"R$ 2.964.559.000,00","R$ 2.922.838.705,26",1.1.1.2.02.01 - IMPOSTO S/ A PROPRIEDADE PREDIAL,"R$ 2.830.996.000,00","R$ 2.792.308.439,54","R$ 235.916.333,33","R$ 201.442.610,35","R$ 23.493.131.464,00","R$ 22.406.672.753,85"
