codigo,especificacao_da_receita,receita_orcada,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,123097304000,169642118378.44,137.811400303649
11000000,RECEITA TRIBUTÁRIA,52546832000,66936376962.56,127.384229295802
11000001,RECEITA TRIBUTÁRIA A CLASSIFICAR,0,0,0
11100000,IMPOSTOS,45871237000,61273693098.39,133.577590459115
11120000,IMPOSTO S/ O PATRIMÔNO E A RENDA,19248196000,1531653711.59,7.95738837857844
11120200,IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,15293400000,12517688185.87,81.850263419972
11120201,IMPOSTO PREDIAL E URBANO,12684395000,10754176248.21,84.7827290793924
11120202,IMPOSTO TERRITORIAL URBANO,2609005000,1763511937.66,67.5932755077127
11120300,IMPOSTO SOBRE A TRANSMISSÃO INTER-VIVOS DE BENS IMOVEIS E DIREITOS REAIS SOBRE IMOVEIS,3954796000,2798848925.72,70.7710062850271
11130000,IMPOSTO SOBRE PRODUÇÃO E A CICULAÇÃO,26623041000,45757155986.8,171.87050865752
11130500,IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA,24796100000,42505464439.87,171.419958944632
11130700,IMPOSTO SOBRE A VENDA DE COMBUSTÍVEIS LÍQUIDOS E GASOSOS A VAREJO,1826941000,3451691546.93,188.932841669764
11200000,TAXAS,6578384000,5373438377.6,81.6832580402725
11210000,TAXA PELO EXERCICÍO DO PODER DE POLICIA,1496384000,1232150614.34,82.3418730980818
11210100,"TAXA DE FISCALIZAÇÃO PARA LOCARIZAÇÃO,FUNCIONAMENTO E INSTALAÇÃO",942412000,596702298.3,63.3165004583982
11210200,TAXA DE LICENÇA PARA TRÁFEGO DE VEÍCULOS,3311000,4121833.34,124.489077016007
11210300,TAXA DE LICENÇA PARA ESTACIONAMENTO DE VEÍCULOS,0,0,0
11210400,TAXA DE FISCALIZAÇÃO DE ANÚNCIOS,125907000,372418049.79,295.788200648097
11210500,TAXA DE LICENÇA PARA ESCAVAÇÕES E RETIRADA DE MATERIAIS DO SUB-SOLO,0,0,0
11210600,TAXA DE LICENÇA PARA CONSTRUÇÃO DE ARRUAMENTOS E LOTEAMENTOS,340345000,244100212.82,71.7214041105349
11210700,TAXA DE LICENÇA PARA ELEV.MONTA CARGAS E ESCADAS ROLANTES,84409000,14808220.09,17.5434137236551
11220000,TAXA PELA PRESTAÇÃO DE SERVIÇOS,5082000000,4141287763.26,81.4893302491145
11220100,TAXA DE LIMPEZA PÚBLICA,3423620000,2868432841.72,83.7836220643646
11220200,TAXA DE CONSERVAÇÃO DE VIAS E LOGRADOUROS PÚBLICOS,950881000,674823284.62,70.968216277326
11220300,TAXA DE PAVIMENTAÇÃO E SERVIÇOS PREPARATÓRIOS DE PAVIMENTAÇÃO,0,45715.07,0
11220400,TAXA DE COMBATE A SINISTRO,707499000,597913389.85,84.5108459305243
11220500,TAXA DE ESTUDOS PARA A FIXAÇÃO DE DIRETRIZES,0,72532,0
11300000,CONTRIBUIÇÕES DE MELHORIAS,97211000,289245486.57,297.543988406662
13000000,RECEITA PATRIMONIAL,6228765000,11514461686.92,184.859465510739
13100000,RECEITAS IMOBILIÁRIAS,278302000,650115328.64,233.60066713139
13110000,"RENDAS DE MERCADOS, FEIRAS E MATADOUROS",205024000,523251418.66,255.214715672312
13120000,RECEITA DO ESTÁDIO MUNICIPAL,23349000,39442591.31,168.926255128699
13130000,RECEITA DE TEATROS,39044000,27541534.07,70.5397348376191
13140000,RECEITA DO AUTODROMO,2107000,14640238.86,694.838104413859
13150000,RECEITA DO KARTODROMO,731000,1905145.9,260.621874145007
13160000,RECEITA DE PERMISSÃO DE ATIVIDADES AMBULANTES,4558000,19590417.03,429.802918604651
13170000,RECEITA DAS UNIDADES EDUCACIONAIS E ESPORTIVAS,172000,175355.94,101.951127906977
13180000,OUTRAS RECEITAS DE PRÓPRIOS MUNICIPAIS,3397000,23568626.87,693.807090668237
13200000,RECEITAS DE VALORES MOBILIÁRIOS,5950383000,10864346358.28,182.582303664823
13210000,RESULTADO DAS APLICAÇÕES FINANCEIRAS,5947717000,10860835621.24,182.605117581082
13210100,RESULTADO DAS APLICAÇÕES FINANCEIRAS-PMSP,0,10477720933.24,0
13210300,RESULTADO DAS APLICAÇÕES FINANCEIRAS-FUNAPS,0,258219324.48,0
13210400,RESULTADO DAS APLICAÇÕES FINANCEIRAS-CMSP,0,116442512.51,0
13210500,RESULTADO DAS APLICAÇÕES FINANCEIRAS-TCM,0,8452851.01,0
13220000,RESULTADO VAR.CAMBIAIS E JR. OPER.CRED,0,0,0
13230000,PARTICIPAÇÃO DE DIVIDENDOS,2666000,3510737.04,131.685560390098
15000000,RECEITA INDUSTRIAL,2408000,38263203.05,1589.00344892027
15200000,RECEITA DA INDUSTRIA DE TRANSFORMAÇÃO,2408000,38263203.05,1589.00344892027
15210000,RECEITA DA GRÁFICA MUNICIPAL,1892000,37519677.93,1983.06965803383
15220000,RECEITA DE SUBPRODUTOS DA LIMPEZA PÚBLICA,516000,743525.12,144.094015503876
16000000,RECEITA DE SERVIÇOS,322543000,609367940.47,188.926109222646
16100000,SERVIÇOS DE EXPEDIENTE,80883000,142175246.83,175.778898940445
16200000,SERVIÇOS DE OFICINAS E REPAROS,473000,0,0
16300000,RECEITA DO ALMOXARIFADO CENTRAL,1419000,60779664.45,4283.27445031713
16400000,RECEITO DE REGISTRO DE PROFISSIONAIS E FIRMAS,2709000,4385879.82,161.900325581395
16500000,SERVIÇOS DE DEPOSITOS,0,4143.91,0
16600000,RECEITA DE PERMISSÃO PARA A EXPLORAÇÃO DE SERVIÇOS DE TAXIS,93439000,250073275.93,267.632654384144
16700000,SERVIÇOS DIVERSOS,127022000,118346463.51,93.1700520461023
16800000,TARIXA DE PEDÁFIO PARA INGRESSO NAS RUAS DE PEDESTRES,14706000,29254001.97,198.925621991024
16900000,REQUISIÇOES DE SERVIÇOS- FISC,1892000,4349264.05,229.876535412262
17000000,TRANSFERÊNCIAS CORRENTES,54911688000,82047293258.46,149.416811332516
17200000,TRANSFERÊNCIAS INTERGOVERNAMENTAIS,54911688000,82032093258.46,149.389130522558
17210000,TRANSFERÊNCIAS DA UNIÃO,8054287000,5645856632.79,70.0975348009079
17210100,PARTICIPAÇÃO NA RECEITA DA UNIÃO,1819287000,4937424645.42,271.39338902658
17210104,TRANSFERENCIA DO IMP.S/A RENDA RET.NAS FONTES,1815202000,4936752144.73,271.96709483187
17210105,TRANSFERENCIA DO IMP.S/A PROP.TERRIT. RURAL,4085000,670101.42,16.4039515299878
17210106,"TRANSFERÊNCIAS DO IMPOSTO SOBRE SERVIÇOS DE TRANSPORTE RODOVIÁRIO, INTERMUNICIPAL E INTERESTADUAL DE PESSOAS E CARGA",0,0,0
17210107,COTA-PARTE IMP. ÚNICO S/LUB.COMB. IIQ.GASOSOS. ,0,2399.27,0
17210900,OUTRAS TRANSFERÊNCIAS DA UNIÃO,6235000000,708431987.37,11.3621810323978
17210901,TRANSFERÊNCIA DA UNIÃO - INAMPS-PAÍS,0,706853943.7,0
17210902,TRANSFERÊNCIA DA UNIÃO - FINS0CIAL,0,0,0
17210903,TRANSFERENCIA DA UNIÃO - FUND. NAC .PRÓ-MEMORIA,0,0,0
17210904,TRANSF DA UNIÃO- EBTU-SEMAT,0,0,0
17210905,TRANSF. DA UNIÃO — FUNDO NAC. DESENV. EDUC,0,0,0
17210906,TRANSF. DA UNIAO-MINISTERIO DO DESENVOLVIMENTO URBANO,0,0,0
17210909,TRANSF. DA UNIÃO - OUTRAS TRANSFERENCIAS,0,1578043.67,0
17220000,TRANSFERENCIAS DOS ESTADOS,46857401000,76386236625.67,163.018509340008
17220100,PARTICIPAÇÃO NA RECEITA DOS ESTADOS,46857401000,76384058807.78,163.013861583531
17220101,COTA-PARTE DO IMP . S/PROP.VEIC. AUTOMOTORES,2153569000,1999040768.02,92.8245516173385
17220102,COTA-PARTE IMP.S/ OPERC.REL. A CIRC DE MER E S/SERV DE TRANSP. INTERESTADUAL E INTERMUNICIAL E DE COMUNICAÇÃO,44703832000,74384176681.11,166.393289687358
17220104,COTA-PARTE S/ TRANSM DE BENS IMÓVEIS,0,841358.65,0
17220900,OUTRAS TRANSFERÊNCIAS DOS ESTADOS,0,2177817.89,0
17220901,TRANSFERÊNCIAS DOS ESTADOS - INAMPS-PAIS,0,2177817.89,0
17220909,TRANSF DOS ESTADOS-OUTRAS TRANSF,0,0,0
17300000,TRANSFERÊNCIAS DE INSTITUIÇÕES PRIVADAS,0,15200000,0
17310000,TRANSF.DE PESSOAS FIS E JURID DO PAÍS,0,15200000,0
17310200,TRANSF.DE PESSOAS FIS E JURID DO PAÍS-FUNAPS,0,200000,0
17310900,TRANSF.DE PESSOAS FIS E JURID DO PAÍS-PMSP,0,15000000,0
19000000,OUTRAS RECEITAS CORRENTES,9085079000,8496355326.98,93.5198838334812
19100000,MULTAS E JUROS DE MORA,5126714000,5890203546.53,114.892376413625
19110000,MULTAS E JUROS DE MORA DOS TRIBUTOS,734096000,1240643318.35,169.002871334267
19120000,MULTAS DE OUTRAS ORIGENS,4392618000,4649560228.18,105.849409809367
19200000,INDENIZACOES E RESTITUICOES,860000,100979.28,11.741776744186
19210000,INDENIZAÇÕES POR CAIÇAMENTOS REPOSTOS,0,0,0
19220000,RESTITUIÇÕES,860000,100979.28,11.741776744186
19300000,RECEITA DA DÍVIDA ATIVA,1026926000,826229433.46,80.45656974894
19310000,RECEITA DA DÍVIDA ATIVA TRIBUTÁRIA,941442000,737027639.52,78.2870999509263
19320000,RECEITA DA DÍVIDA ATIVA NÃO TRIBUTÁRIA,85484000,87201793.94,102.009491764541
19900000,RECEITAS DIVERSAS,2930579000,1781821367.71,60.8010010209587
19910000,RECEITA DE CONTRIBUIÇÕES ESTABELECIDAS EM CONTRATOS,9331000,20415662.94,218.793944271782
19920000,"RECEITA DA JUNTA ADMINISTRATIVA, DA CASA PROPRIA.",0,0,0
19930000,RECEITA DE CANCELAMENTOS DE RESTOS A PAGAR,859613000,145452820.47,16.9207329891474
19940000,EVENTUAIS DIVERSOS,2061635000,1615945884.3,78.3817641968632
19940100,EVENTUAIS DIVERSOS-PMSP,0,1614260503.97,0
19940400,EVENTUAIS DIVERSOS-FUNAPS,0,1685380.33,0
