codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
100000000000,RECEITAS CORRENTES,35622340251,3038803588,8.53,22198460869.69,62.32
110000000000,RECEITA TRIBUTÁRIA,17802795320,1555333564.67,8.74,11211586770.08,62.98
111000000000,IMPOSTOS,17550267955,1464645970.38,8.35,11038811746.64,62.9
111200000000,IMPOSTOS S/ O PATRIMÔNIO E A RENDA,7845700493,615572292.14,7.85,5341895117.13,68.09
111202000000,IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,5323726736,391545232.71,7.35,3901216804.12,73.28
111202010000,IMPOSTO S/ A PROPRIEDADE PREDIAL,5081910187,376465440.8,7.41,3724414367.11,73.29
111202020000,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,241816549,15079791.91,6.24,176802437.01,73.11
111204000000,IMPOSTO S/ A RENDA E PROVENTOS DE QUALQUER NATUREZA,1223306663,101472391.83,8.29,667111563.55,54.53
111204310000,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENTOS DO TRABALHO,1003448296,82206632.76,8.19,546765173.81,54.49
111204330000,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE RECURSOS AO EXTERIOR,1051830,0,0,709079.96,67.41
111204340000,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDIMENTOS,218806537,19265759.07,8.8,119637309.78,54.68
111208000000,IMPOSTO S/ TRANS. INTER-VIVOS  DE BENS IMÓVEIS E DIR. REAIS S/ IMÓVEIS,1298667094,122554667.6,9.44,773566749.46,59.57
111208010000,IMPOSTO S/ TRANS. INTER-VIVOS  DE BENS IMÓVEIS E DIR. REAIS S/ IMÓVEIS,1298667094,122554667.6,9.44,773566749.46,59.57
111300000000,IMPOSTO S/ A PRODUÇÃO E A CIRCULAÇÃO,9704567462,849073678.24,8.75,5696916629.51,58.7
111305000000,IMPOSTO S/ SERVIÇOS DE QUALQUER NATUREZA,9704563939,849073678.24,8.75,5696916629.51,58.7
111305010000,IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA,8890824099,774838424.91,8.72,5207743854.12,58.57
111305020000,ISS - SISTEMA INTEGRADO - SIMPLES,191049,35596.91,18.63,255789.87,133.89
111305040000,ISS - SIMPLES NACIONAL,813548791,74199656.42,9.12,488916985.52,60.1
111307000000,IMPOSTO S/ VENDA A VAREJO DE COMBUSTÍVEIS LÍQUIDOS E GASOSOS - IVV,3523,0,0,0,0
112000000000,TAXAS,252527147,90687510.81,35.91,172760112.53,68.41
112100000000,TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,224178394,84037902.93,37.49,147847245.25,65.95
112125000000,"TAXA DE LICENÇA P/ FUNC. DE ESTAB. COMERC., INDÚSTRIAS E PREST. SERV.",104280936,70483602.96,67.59,88612726.44,84.98
112125010000,"TAXA DE LICENÇA P/ LOCALIZAÇÃO, INSTALAÇÃO E FUNCIONAMENTO",0,0,0,272.05,0
112125030000,TAXA DE FISCALIZAÇÃO DE ESTABELECIMENTOS - TFE,104280936,70483602.96,67.59,88612454.39,84.97
112126000000,TAXA DE PUBLICIDADE COMERCIAL,16427103,6646931.49,40.46,11767718.55,71.64
