codigo,especificacao_da_receita,receita_orcada,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,9188449000,9249962847.61,100.669469326216
11000000,RECEITA TRIBUTÁRIA,4453071000,4468519339.16,100.346914279157
11100000,IMPOSTOS,4315859000.001,4295776.91,0.0995346907764828
11120000,Imposto s/ o patrimôno e a renda,2383932000,2321910752.32,97.3983633895598
11120200,Imposto s/ a propriedade predial e territorial urbana,1754141000,1675310807.8,95.5060515545786
11120201,Imposto sobre a propriedade predial ,1707799000.001,1598396305.36,93.5939361341156
11120202,Imposto sobre a propriedade territorial urbana,46342000,76914502.44,165.971478227094
11120400,Imposto sobre a renda e provimentos de qualquer natureza,351798000,391972827.12,111.419856599526
11120430,Retido nas Fontes,351798000.001,391972827.12,111.419856599209
11120800,Imposto s/ transmissão Inter-vivos-ITBI-IV,277993000.001,254627117.4,91.5947946168012
11130000,Imposto sobre produção e a ciculação,1931927000,1973816024.59,102.168250901302
11130500,Imposto sobre serviço de qualquer natureza,1931916000,1973615890.75,102.15847328507
11130501,ISS,1920179000.001,1954965587.48,101.811632534206
11130502,ISS-Sistema Integrado-Simples,11737000,18650303.27,158.901791514016
11130700,imposto sobre a venda a varejo de combustivéis líquidos e gasosos-IVV,11000.001,200133.84,1819.39838005469
11200000,Taxas,136072000,171434980.73,125.988433130989
11210000,Taxa pelo exercicío do poder de policia,135613000,170604294.28,125.802315618709
11210100,"Taxa de licença para localização,funcionamento e instalação",82037000,101285187.22,123.462812170118
11210200,TAXA DE LICENCA P TRAFEGO DE VEICULOS,35000,41478.21,118.509171428571
11210400,Taxa de fiscalização de anuncios,25402000,23381124.46,92.0444235099599
11210600,Taxa de licença para construção de arruamentos e loteamentos,8000,27250.5,340.63125
11210700,Taxa de Vist.ap.transp.vert.horizontal,2501000,2627303.39,105.050115553778
11210800,Taxa para exame e verificação de projetos de construções,25630000,43241950.5,168.716154896606
11220000,Taxa pela prestação de serviços,459000,830686.45,180.977440087146
11220100,Taxa de Limpeza pública,129000,394586.96,305.881364341085
11220200,Taxa de Conservação de vias e logradouros públicos,32000,38047.87,118.89959375
11220400,Taxa de combate a sinistros,6000,29871.44,497.857333333333
11220500,Taxa de estudos p/ fixação de diretrizes,292000,368180.18,126.089102739726
11300000,Contribuições de melhoria,1140000,1357581.52,119.086098245614
13000000,Receita patrimonial,139123000,215709046.9,155.049162899017
13100000,Receitas Imobiliárias,26365000.001,13603899.46,51.5983290706771
13110000,Alugueis,6246000,8198496.07,131.25994348383
