codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,9188449000,701201953.11,7.63,6130619366.29,66.72
11000000,RECEITA TRIBUTÁRIA,4453071000,367347432.62,8.25,2945374329.59,66.14
11100000,IMPOSTOS,4315859000.001,350962439.29,8.13,2819646630.42,65.33
11120000,Imposto s/ o patrimôno e a renda,2383932000,189633553.09,7.95,1550914073.81,65.06
11120200,Imposto s/ a propriedade predial e territorial urbana,1754141000,135310414.15,7.71,1154924665.2,65.84
11120201,Imposto sobre a propriedade predial ,1707799000.001,129496502.41,7.58,1099921674.77,64.41
11120202,Imposto sobre a propriedade territorial urbana,46342000,5813971.14,12.55,55002990.43,118.69
11120400,Imposto sobre a renda e provimentos de qualquer natureza,351798000,30261285.83,8.6,227860572.54,64.77
11120430,Retido nas Fontes,351798000.001,30261285.83,8.6,227860572.54,64.77
11120800,Imposto s/ transmissão Inter-vivos-ITBI-IV,277993000.001,23275709.65,8.37,147071997.74,52.9
11120900,Receita Tributária a classificar,0,786003.46,0,21056838.33,0
11130000,Imposto sobre produção e a ciculação,1931927000,161328886.2,8.35,1288732556.61,65.67
11130500,Imposto sobre serviço de qualquer natureza,1931916000,161303881.401,8.35,1268674778.25,65.67
11130501,ISS,1920179000.001,160606557.781,8.36,1257725749.5,85.5
11130502,ISS-Sistema Integrado-Simples,11737000,697323.62,5.94,10949028.15,93.29
11130700,imposto sobre a venda a varejo de combustivéis líquidos e gasosos-IVV,11000.001,25004.8,227.32,57778.36,525.26
11200000,Taxas,136072000,15823950.88,11.63,124004696.87,91.13
11210000,Taxa pelo exercicío do poder de policia,135613000,15784385.01,11.64,123545295.05,91.1
11210100,"Taxa de licença para localização,funcionamento e instalação",82037000,10224683.08,12.46,72379659.01,88.23
11210200,TAXA DE LICENCA P TRAFEGO DE VEICULOS,35000,1414.85,4.04,32013.16,91.47
11210400,Taxa de fiscalização de anuncios,25402000,2255738.48,8.88,17548289.8,69.08
11210600,Taxa de licença para construção de arruamentos e loteamentos,8000,1741.08,21.76,17215.39,215.19
11210700,Taxa de Vist.ap.transp.vert.horizontal,2501000,13927.42,0.56,2593536.87,103.7
11210800,Taxa para exame e verificação de projetos de construções,25630000,3286880.101,12.82,30974580.82,120.85
11220000,Taxa pela prestação de serviços,459000,39565.87,8.62,459401.82,10.09
11220100,Taxa de Limpeza pública,129000,14059.9,10.9,176958.25,137.18
11220200,Taxa de Conservação de vias e logradouros públicos,32000,-4116.93,12.87,30528.041,95.4
