codigo,especificacao_da_receita,receita_orcada,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,7000033000,7753358747.56,110.76174565977
11000000,RECEITA TRIBUTÁRIA,3109488000,3337689398.16,107.338873736126
11100000,IMPOSTOS,2968196000,3211863648.02,108.209284293221
11120000,Imposto s/ o patrimôno e a renda,1495086000,1538539639.72,102.906430781908
11120200,Imposto s/ a propriedade predial e territorial urbana,1296631000.001,1328611120.44,102.466401037687
11120201,Imposto sobre a propriedade predial ,1247419000.001,1278397421.98,102.483401485706
11120202,Imposto sobre a propriedade territorial urbana,49212000,50213698.46,102.035476022108
11120800,Imposto s/ transmissão Inter-vivos-ITBI-IV,198455000,209928519.28,105.781421118138
11130000,Imposto sobre produção e a ciculação,1473110000,1673324008.3,113.591246295253
11130500,Imposto sobre serviço de qualquer natureza,1472723000,1673196549.36,113.612440992637
11130501,ISS,1464753000,1663045568.55,113.537611361779
11130502,ISS-Sistema Integrado-Simples,7970000,10150980.81,127.364878419072
11130700,imposto sobre a venda a varejo de combustivéis líquidos e gasosos-IVV,387000,127458.94,32.9351266149871
11200000,Taxas,141049000,125164561.37,88.7383543094953
11210000,Taxa pelo exercicío do poder de policia,127208000.001,123628353.07,97.1859891430005
11210100,"Taxa de licença para localização,funcionamento e instalação",73049058,73021074.38,99.9616920179861
11210200,TAXA DE LICENCA P TRAFEGO DE VEICULOS,0,37.8,0
11210400,Taxa de fiscalização de anuncios,31485942.001,20395955.97,64.7779760546857
11210600,Taxa de licença para construção de arruamentos e loteamentos,2064000,9664.38,0.468235465116279
11210700,Taxa de Vist.ap.transp.vert.horizontal,1958000,2185158.23,111.60154392237
11210800,Taxa para exame e verificação de projetos de construções,18651000,28016462462.31,150214.264448609
11220000,Taxa pela prestação de serviços,13841000,1536208.3,11.0989690051297
11220100,Taxa de Limpeza pública,11182000,1020275.55,9.12426712573779
11220200,Taxa de Conservação de vias e logradouros públicos,2025000,228413.55,11.2796814814815
11220400,Taxa de combate a sinistros,495000,43118.81,8.71087070707071
11220500,Taxa de estudos p/ fixação de diretrizes,139000.001,244400.39,175.827617440089
11300000,Contribuições de melhoria,243000,661188.77,272.094144032922
13000000,Receita patrimonial,41641000,56468594.98,135.608162580149
13100000,Receitas Imobiliárias,4658000,6983808.36,149.931480463718
13110000,Receitas de Proprios municipais,4658000,6983808.36,149.931480463718
13110001,"Rendas de mercados, feiras e matadouros-sistema Velho",181000,311585.62,172.146751381215
,,,,0
