codigo,especificacao_da_receita,receita_orcada,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,1098436533000,1032223594507.16,93.9720742615869
11000000,RECEITA TRIBUTÁRIA,556590963000,446812110007.31,80.2765656846121
11100000,IMPOSTOS,453391740000,385050080010.28,84.9265758591632
11120000,IMPOSTO S/ O PATRIMÔNO E A RENDA,208191030000,154134411780.65,74.0350877656208
11120200,IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,186634860000,131397103685.81,70.4033017657098
11120201,IMPOSTO SOBRE A PROPRIEDADE PREDIAL URBANO,122991180000,101949194063.25,82.8914675534051
11120202,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL URBANA,63643680000,29447909622.56,46.2699668255513
11120800,IMPOSTO S/ TRANSMISSÃO INTER-VIVOS-ITBI-IV,21556170000,22737308094.84,105.479350435815
11120900,RECEITA TRIBUTÁRIA A CLASSIFICAR,0,0,0
11130000,IMPOSTO SOBRE PRODUÇÃO E A CICULAÇÃO,245200710000,230915668229.63,94.1741433903801
11130500,IMPOSTO SOBRE SERVIÇO DE QUALQUER NATUREZA,225769470000,213489286739.39,94.5607423091306
11130700,IMPOSTO SOBRE A VENDA A VAREJO DE COMBUSTIVÉIS LÍQUIDOS E GASOSOS-IVV,19431240000,17426381490.24,89.6822924848852
11200000,TAXAS,101714667000,60550059731.49,59.5293299554232
11210000,TAXA PELO EXERCICÍO DO PODER DE POLICIA,7731387000,7623637731.05,98.606339729857
11210100,"TAXA DE LICENÇA PARA LOCALIZAÇÃO,FUNCIONAMENTO E INSTALAÇÃO",5514396000,4391879855.34,79.6438967266769
11210200,TAXA DE LICENÇA PARA TRÁFEGO DE VEÍCULOS,23160000,18093866.14,78.1255014680484
11210300,TAXA DE LICENÇA PARA ESTACIONAMENTO DE VEÍCULOS,0,0,0
11210400,TAXA DE LICENÇA PARA PUBLICIDADE,1174791000,885416227.01,75.3679783901988
11210500,TAXA DE LICENÇA PARA ESCAVAÇÕES E RETIRADA DE MATERIAIS DO SUB-SOLO,0,0,0
11210600,TAXA DE LICENÇA PARA CONSTRUÇÃO DE ARRUAMENTOS E LOTEAMENTOS,961140000,2139687371.96,222.619740304222
11210601,TAXA DE LICENÇA PARA CONSTRUÇÃO DE ARRUAMENTOS E LOTEAMENTOS,961140000,2139147787.11,222.563600215369
