codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,10517710700,875152791.03,8.32,1846506722.22,17.56
11000000,RECEITA TRIBUTÁRIA,5143091000,340014143.12,6.61,622439023.57,12.1
11100000,IMPOSTOS,4591212000,330329112.76,7.21,600972170.55,13.09
11120000,Imposto s/ o patrimôno e a renda,2452612000,169693061.2,8.92,240524188.55,9.81
11120200,Imposto s/ a propriedade predial e territorial urbana,1782916000,98607977.81,5.53,115290355.32,6.47
11120201,Imposto sobre a propriedade predial ,1719759000,94148726,5.47,108026123.62,6.33
11120202,Imposto sobre a propriedade territorial urbana,63157000,4461250.91,7.06,6370231.6,10.09
11120400,Imposto sobre a renda e provimentos de qualquer natureza,417582000,33437240.92,6.01,69312350.64,16.6
11120431,Retido nas Fontes S/os rend do trabalho,406567000,32041463.15,7.88,66762853.76,16.42
11120433,Imposto de Renda Retido na Fonte sobre Remessa de Recursos ao Exterior,0,0,0,0,0
11120434,Imposto de Renda Retido nas Fontes s/ Outros Rendimentos,11015000,1295186.77,12.67,2549502.79,23.15
11120800,Imposto s/Trans. Inter-vivos de Bens Imóveise de Direitos Reais s/ Imóveis. ITBl’IV,252114000,17973123.82,7.13,29911190.92,11.86
11120900,Receita Tributária a classificar,0,19674709.65,0,26004279.77,0
11130000,Imposto sobre produção e a ciculação,2138600000,161136051.68,7.53,360447986.04,10.56
11130500,Imposto sobre serviço de qualquer natureza,2138581000,161125039.33,7.53,360447986.04,16.85
11130501,ISS,2120421000,159551149.07,7.62,357085457.05,16.84
11130502,ISS-Sistema Integrado-Simples,18160000,1583690.26,8.72,3356370.75,18.48
11130503,ISS-CMSP,0,0,0,0,0
11130504,ISS-Retido na fonte,0,0,0,0,0
11130700,imposto sobre a venda a varejo de combustivéis líquidos e gasosos-IVV,19000,1012.25,5.33,616024,32.42
11200000,Taxas,382792000,8178668.3,2.14,19715862.7,5.15
11210000,Taxa pelo exercicío do poder de policia,164903000,8146958.19,4.94,10606285.51,11.2
11210200,OutxasTaxas dE Municípalidade,129881000,7224158.74,5.56,17951740.63,13.82
11210100,"Taxa de fiscalização localização, instalação e  funcionamento ",103398000,5843505.5,5.65,11412127.05,11.04
11120202,Taxa p/ Exame e Ver Proj r Construções,26445000,1371341.84,5.19,6826343.33,24.08
11210203,TAXA DE LICENCA P TRAFEGO DE VEICULOS,38000,8821.4,23.21,13270.55,34.92
11210204,Taxa de fiscalização de estabelecimentos-TFE.,0,0,0,0,0
11210600,Taxa de licença para construção de arruamentos e loteamentos,39000,4744.14,12.16,5234.43,13.42
11210900,Taxa de Vistoría de Normas de Segurança,0,0,0,0,0
11212600,Taxa de Publicidade Comercial,32030000,911113.02,2.84,1633909.31,5.1
11212601,Taxa de Fiscalização de Anúncios,32030000,911113.02,2.84,1633989.31,5.1
11213400,Taxa de fisc de Aparelhos deTransporte,2958000,5942.29,0.2,15221.84,0.62
11213401,Taxa de Vist.ap.transp.vert.horizontal,2958000,5942.29,0.2,15221.84,0.62
11220000,Taxa pela prestação de serviços,217884000,32710.11,0.02,109576.19,0.05
11220300,Taxa de Conservação de vias e logradouros públicos,5000,3451.31,69.03,13299.58,265.99
11220400,Taxa de combate a sinistros,1000,586.62,58.69,2471.21,247.12
11220500,Taxa de estudos p/ fixação de diretrizes,341000,19728.93,5.79,30950.98,10.84
11220600,Taxa de Fiscalização dos Serviçosde Limpeza Urbana-FISLURB,217500000,0,0,0,0
11220700,Taxa de Resíduos SólidosDoniciliares.TRSD,0,0,0,0,0
11220800,Taxa de Resíduos Sólidos de Serviços de Saúde.TRSS,0,0,0,0,0
11229000,Taxa de Limpeza pública,37000,8942.95,24.17,56854.42,153.66
11300000,Contribuições de melhoria,1587000,74966.43,4.72,180274.64,11.36
11400000,Contibuição sobre a Iluminação Pública-COSP,167500000,0,0,0,0
11900000,Receitas a classificar-DAMSP,0,931265.61,0,1671209.64,0
12000000,RECEITAS DE CONTRIBUIÇÕES,0,21630.52,0,21630.62,0
12104600,COMPENSAÇÃO PREVIDENCIÁRIA ENTE REGIME GERAl. E OS REGIMES PROPRIOS DE PREVID. DOS SERVIDORES,0,0,0,0,0
12104601,Compensação Previdenciária,0,0,0,0,0
12200000,CONTRIBUIÇÕES ECONOMICAS,0,21630.52,0,21630.52,0
12202200,Cota.part.a de Compensações Financeiras,0,21630.52,0,21630.52,0
12202231,Compensação financeira com RoyaIties pela Produçao de Petróleo ou Gás Natural,0,21630.52,0,21630.52,0
12202900,Contribuiçáo para o Custeio do Serv. de iluminação Pública-COSIP/FUNDIP,0,0,0,0,0
13000000,Receita patrimonial,163210000,10194080.57,6.25,32056489.58,19.64
