codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,2090912724,179063566.2,8.56,744007093.03,35.58
11000000,RECEITA TRIBUTÁRIA,1022074015,68735768.49,6.73,331940466.67,32.48
11000001,RECEITA TRIBUTÁRIA A CLASSIFICAR,0,-10719077.85,0,2283610.29,0
11100000,IMPOSTOS,858609725,69092350.17,8.05,298424258.35,34.76
11120000,IMPOSTO S/ O PATRIMÔNO E A RENDA,313435813,28882038.21,9.21,145624997.27,46.46
11120200,IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,294629525,23224416.24,7.88,135000635.05,45.82
11120201,IMPOSTO SOBRE A PROPRIEDADE PREDIAL,257303018,22223039.23,8.64,124413761.57,48.35
11120202,IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL URBANA,37326507,1001377.01,2.68,10586873.46,28.36
11120300,"IMPOSTO SOBRE A TRANSMISSÃO INTER-VIVOS, POR ATO ONEROSO DE BENS IMOVEIS E DIREITOS REAIS SOBRE IMOVEIS",18806288,5657621.97,30.08,10624362.22,56.49
11130000,IMPOSTO SOBRE PRODUÇÃO E A CICULAÇÃO,474833512,36958214.39,7.78,144852549.58,30.51
11130500,IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA,474833512,36958214.39,7.78,144852549.58,30.51
11140000,IMPOSTO SOBRE A VENDA DE COMBUSTÍVEIS LÍQUIDOS E GASOSOS A VAREJO,70340400,3252097.57,4.62,7946711.5,11.3
11200000,TAXAS,163384290,10249941.12,6.27,30355631.47,18.58
11210000,TAXA PELO EXERCICÍO DO PODER DE POLICIA,32614028,6528844.85,20.02,9474887.45,29.05
11210100,"TAXA DE FISCALIZAÇÃO PARA LOCARIZAÇÃO,FUNCIONAMENTO E INSTALAÇÃO",16461608,4560279.08,27.7,6007147.48,36.49
11210200,TAXA DE LICENÇA PARA TRÁFEGO DE VEÍCULOS,64340,7150.64,11.11,29024.11,45.11
11210300,TAXA DE LICENÇA PARA ESTACIONAMENTO DE VEÍCULOS,0,0,0,0,0
11210400,TAXA DE FISCALIZAÇÃO DE ANÚNCIOS,3528000,769725.84,21.82,1061406.3,30.09
11210500,TAXA DE LICENÇA PARA ESCAVAÇÕES E RETIRADA DE MATERIAIS DO SUB-SOLO,0,0,0,0,0
11210600,TAXA DE LICENÇA PARA CONSTRUÇÃO DE ARRUAMENTOS E LOTEAMENTOS,11200000,486484.4,4.34,1646374.61,14.7
11210700,TAXA DE LICENÇA PARA ELEV.MONTA CARGAS E ESCADAS ROLANTES,1360000,705204.89,51.85,730934.95,53.75
11220000,TAXA PELA PRESTAÇÃO DE SERVIÇOS,130770262,3721096.27,2.85,20880744.02,15.97
11220100,TAXA DE LIMPEZA PÚBLICA,95227632,2675700,2.81,16048627.64,16.85
11220200,TAXA DE CONSERVAÇÃO DE VIAS E LOGRADOUROS PÚBLICOS,26504578,848114.19,3.2,2978610.6,11.24
11220300,TAXA DE PAVIMENTAÇÃO E SERVIÇOS PREPARATÓRIOS DE PAVIMENTAÇÃO,0,0,0,23559.14,0
11220400,TAXA DE COMBATE A SINISTRO,9038052,193971.44,2.15,1829946.56,20.25
