codigo,especificacao_da_receita,receita_orcada,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,6437249000,6115435867.22,95.0007661226092
11000000,RECEITA TRIBUTÁRIA,3080716000,3033304544.2,98.4610247812521
11100000,IMPOSTOS,2420371000,2391335436.09,98.8003672201493
11120000,Imposto s/ o patrimôno e a renda,911084000,932051539.07,102.30138374398
11120200,Imposto s/ a propriedade predial e territorial urbana,728473000.001,745249356.02,102.302948224433
11120201,Imposto sobre a propriedade predial ,692646000,714930112.79,103.217244131923
11120202,Imposto sobre a propriedade territorial urbana,35827000.001,30319243.23,84.6267988644144
11120800,Imposto s/ transmissão Inter-vivos-ITBI-IV,182611000.001,186802183.05,102.295142707163
11130000,Imposto sobre produção e a ciculação,1509287000.001,1459283897.02,96.6869718628089
11130500,Imposto sobre serviço de qualquer natureza-ISS,1509045000,1456239901.61,96.5007605213894
11130600,ISS-SISTEMA INTEGRADO SIMPLES,0,2722921.64,0
11130700,imposto sobre a venda a varejo de combustivéis líquidos e gasosos-IVV,242000,321073.77,132.675111570248
11200000,Taxas,658357000,640847697.34,97.3404546985906
11210000,Taxa pelo exercicío do poder de policia,80245000.001,80179699.76,99.9186239130174
11210100,"Taxa de licença para localização,funcionamento e instalação",45338000,51058682,112.617852574
11210200,Taxa de licença para tráfego de veículos,0.001,53.3,0
11210400,Taxa de fiscalização de anuncios,6650000,7508613.57,112.911482255639
11210600,Taxa de licença para construção de arruamentos e loteamentos,22330000,1403529.97,6.28540067174205
11210700,Taxa de Vist.ap.transp.vert.horizontal,1698000.001,1825257.44,107.49454881773
11210800,Taxa para exame e verificação de projetos de construções,4229000,18383563.48,434.702375975408
11220000,Taxa pela prestação de serviços,578112000,560667997.58,96.9825911899424
11220100,Taxa de limpeza pública,464102000,452969808.46,97.6013480786551
11220200,Taxa de conservação de vias e logradouros públicos,92747000,87061802.99,93.8702092682243
11220400,Taxa de combate a sinistro,21121000,20495626.21,97.0390900525543
11220500,Taxa de estudos p/ fixação de diretrizes,142000,140759.92,99.1267042253521
11300000,Contribuições de melhoria,1988000,1121410.77,56.4089924547284
13000000,Receita patrimonial,10072000,8915057.63,88.5132806791104
