codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,123097304000,17952950834,14.58,101005657321.94,82.05
11000000,RECEITA TRIBUTÁRIA,52546832000,7335256699.35,13.96,40627418339.59,77.32
11000001,RECEITA TRIBUTÁRIA A CLASSIFICAR,0,36828813.12,0,58953845.47,0
11100000,IMPOSTOS,45871237000,6850816477.36,14.93,36294657324.85,79.12
11120000,IMPOSTO S/ O PATRIMÔNO E A RENDA,19248196000,1548466845.09,8.04,10648925107.37,55.32
11120200,IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,15293400000,1289859229.57,8.43,9161356206.39,59.9
11120201,IMPOSTO PREDIAL E URBANO,12684395000,1111047114.5,8.76,7890757373.65,62.21
11120202,IMPOSTO TERRITORIAL URBANO,2609005000,178812115.07,6.85,1270598832.94,48.7
11120300,IMPOSTO SOBRE A TRANSMISSÃO INTER-VIVOS DE BENS IMOVEIS E DIREITOS REAIS SOBRE IMOVEIS,3954796000,258607615.52,6.54,1487568900.78,37.61
11130000,IMPOSTO SOBRE PRODUÇÃO E A CICULAÇÃO,26623041000,5302349632.27,19.92,25645732217.48,96.33
11130500,IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA,24796100000,5001239495.37,20.17,23995405419.46,96.77
11130700,IMPOSTO SOBRE A VENDA DE COMBUSTÍVEIS LÍQUIDOS E GASOSOS A VAREJO,1826941000,301110136.9,16.48,1650326798.02,90.33
11200000,TAXAS,6578384000,426452963.63,6.48,4082615728.25,62.06
11210000,TAXA PELO EXERCICÍO DO PODER DE POLICIA,1496384000,85706803.4,5.73,920269713.37,61.5
11210100,"TAXA DE FISCALIZAÇÃO PARA LOCARIZAÇÃO,FUNCIONAMENTO E INSTALAÇÃO",942412000,24240542.3,2.57,499752119.61,53.03
11210200,TAXA DE LICENÇA PARA TRÁFEGO DE VEÍCULOS,3311000,494905.8,14.95,3110416.19,93.94
11210300,TAXA DE LICENÇA PARA ESTACIONAMENTO DE VEÍCULOS,0,203.19,0,0,0
11210400,TAXA DE FISCALIZAÇÃO DE ANÚNCIOS,125907000,40704104.05,32.33,275246025.88,218.61
11210500,TAXA DE LICENÇA PARA ESCAVAÇÕES E RETIRADA DE MATERIAIS DO SUB-SOLO,0,0,0,0,0
11210600,TAXA DE LICENÇA PARA CONSTRUÇÃO DE ARRUAMENTOS E LOTEAMENTOS,340345000,20106686.94,5.91,127516522.3,37.47
11210700,TAXA DE LICENÇA PARA ELEV.MONTA CARGAS E ESCADAS ROLANTES,84409000,160361.12,0.19,14644629.39,17.35
11220000,TAXA PELA PRESTAÇÃO DE SERVIÇOS,5082000000,340746160.32,6.7,3162346014.88,62.23
11220100,TAXA DE LIMPEZA PÚBLICA,3423620000,246301297.32,7.19,2173636293.5,63.49
11220200,TAXA DE CONSERVAÇÃO DE VIAS E LOGRADOUROS PÚBLICOS,950881000,36999882.55,3.89,546412321.02,57.46
11220300,TAXA DE PAVIMENTAÇÃO E SERVIÇOS PREPARATÓRIOS DE PAVIMENTAÇÃO,0,5469.09,0,38894.68,0
11220400,TAXA DE COMBATE A SINISTRO,707499000,57439511.27,8.12,442208106.18,62.5
11220500,TAXA DE ESTUDOS PARA A FIXAÇÃO DE DIRETRIZES,0,0,0,50399.5,0
11300000,CONTRIBUIÇÕES DE MELHORIAS,97211000,21158445.24,21.77,191191441.02,196.68
13000000,RECEITA PATRIMONIAL,6228765000,842665201.97,13.53,7772600503.02,124.79
13100000,RECEITAS IMOBILIÁRIAS,278382000,67425483.55,24.22,391924019.68,140.79
13110000,"RENDAS DE MERCADOS, FEIRAS E MATADOUROS",205024000,55915517.79,27.27,334552045.95,163.18
13120000,RECEITA DO ESTÁDIO MUNICIPAL,23349000,2714518.59,11.63,19477423.15,83.42
13130000,RECEITA DE TEATROS,39044000,3140467.34,8.04,12022583.34,30.79
13140000,RECEITA DO AUTODROMO,2107000,942694.16,44.74,4347694.04,206.35
13150000,RECEITA DO KARTODROMO,731000,131355,17.97,162005.9,22.16
