codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,18923028900,1565667085.48,8.27,9990692572.89,52.8
11000000,RECEITA TRIBUTÁRIA,9202355600,701454752.28,7.62,4639906546.43,50.42
11100000,IMPOSTOS,8977125800,687745246.37,7.66,4558016213.49,50.77
11120000,Impostos s/ o Patrimônio e a Renda ,3987905100,313430650.13,8.04,2340462328.3,60.04
11120200,IMPOSTOS / A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,2925146100,204942143.7,7.01,1797406244.57,61.45
11120201,lmpostos / a Propriedade Predial,2781029600,195942625.1,7.05,1712727296.24,61.59
11120202,lmposto s/ a Propriedade Tenitorial Urbana,144116500,8999518.6,6.24,84678948.33,58.76
11120400,IMPOSTO S /A RENDA E PROVENTOS DE OUALOUER NATUREZA,565764200,56785630.45,10.04,304700484.04,53.86
11120431,lmposto de Renda Retido nas Fontes s/ os Rendimentos do trabalho,532583200,48842619.52,9.17,256810633.13,48.22
11120433,lmposto de Renda Retido nas Fontes s/ Remessa de Recursos ao exterior,0,0,0,0,0
11120434,lmposto de Renda Retido nas Fontes s/ Outros Rendimentos,33181000,7943010.93,23.94,47889850.91,144.33
11120800,IMPOSTO S /TRANSMISSAO INTER-VIVOS DE BENS lMOVElS E DE DIREITOS REAIS S / IMOVEIS.ITBI.IV,406994800,51702875.98,12.7,238355599.69,58.56
11130000,IMPOSTO S/ A PRODUQAO E A CIRCULAÇÃO,5079220700,374314596.24,7.37,2217553885.19,43.66
11130600,IMPOSTO S/ SERVIÇOS DE OUALQUER NATUREZA,5079097800,374314596.24,7.37,2217553840.02,43.66
11130501,ISS,5044994000,370541746.81,7.34,2195253510.19,43.51
11130502,ISS - Sistemal Integrado- Simples,33647700,3772849.43,11.21,22167407.63,65.88
11130503,ISS - CMSP,456100,0,0,132922.2,29.14
11130700,lmpostos / Venda a Varejo De Combustiveis Liquidos e Gasosos. IVV,122900,0,0,45.17,0.04
11200000,TAXAS,224816600,12078772.76,5.37,75493718.46,33.58
11210000,TAXAS PELO EXERCICIO  DO PODER DE POLICIA,177632200,9052527.26,5.1,40095196.24,22.57
11212500,"TAXA DE LICENÇA.P/ O  FUNCIONAMENTO DE ESTABELECIMENTOS COMERCIAIS, INDUSTRIAIS E PRESTADORAS DE SERVIÇOS",97260500,3611751.13,3.71,9583692.93,9.85
11212501,Taxa de Licença p/ Localização lnstalação e Funcionamento,0,0,0,0,0
11212502,Taxa de Vistoria de Normas do Segurança,0,0,0,0,0
11212503,Taxa de Fiscalização de Estabelecimentos TFE,97260500,3611751.13,3.71,9583692.93,9.85
11212600,TAXA DE PUBLICIDADE COMERCIAL,40000000,505364.21,1.26,2573902.47,6.43
11212601,Taxa de Fiscalização de Anuncios,40000000,505364.21,1.26,2573902.47,6.43
11213200,TAXA DE APROVAÇÃO DO PROJETO DE CONSTRUÇÃO CIVIL,32094900,4815885.1,15.01,22505098.85,70.12
11213201,Taxa p/ Exame e Verificação de Projetos e Construções,32094900,4815885.1,15.01,22505098.85,70.12
11213400,TAXA DE FISCALIZAÇÃO DE APARELHOS DE TRANSPORTE,4499900,107777.53,2.4,4312830.4,95.84
11213401,Taxa de Vistoria de Aparelhos de Transporte Vertical e Horizontal,4499900,107777.53,2.4,4312830.4,95.84
11219900,OUTRAS TAXAS P / EXERCICIO DO PODER DE POLICIA,3776900,11749.29,0.31,1119671.59,2965
11219901,Taxa de Licença p/Trafego de Veículos,82200,0,0,0,0
11219902,Taxa de Licença p/ Arruamentos e Loteamentos,14400,0,0,171.53,1.19
11219903,Taxa de Fiscalização dos Servigos de Limpeza Urbana- FISLURB,2082900,7029.49,0.34,684118.83,32.84
11219904,Taxa do Remoção - CET,1597400,4719.8,0.3,435381.23,27.26
11220000,TAXAS PELA PRESTAÇÃO DE SERVIÇOS,47184400,3026245.5,6.41,35398522.22,75.02
11229000,TAXA DE LIMPEZA PUBLICA,46961700,2978657.3,6.34,35077558.14,74.69
11229001,Taxa de Limpeza Pulblica,0,4364.48,0,21713.66,0
11229002,Taxa de Residuos Sólidos Domiciliares- TRSD,580200,2630295.66,453.34,31643609.86,5453.91
11229003,Taxa de Resíduos Sólidos de Serviços de Saúde - TRSS,46381500,343997.16,0.74,3412234.62,7.36
11229900,OUTRAS TAXAS PELA PRESTAÇÃO DE SERVIÇOS,222700,47588.2,21.37,320964.08,144.12
11229901,Taxa de Conservação de  Vias e Logradouros Púlblicos,0,986.19,0,2960.35,0
11229902,Taxa de Estudos p / Fixação d e Diretrizes,222700,34334.76,15.42,274044.74,123.06
11229903,Taxa de Combate a Sinistros,0,12267.25,0,43958.99,0
11300000,CONTRIBUIÇÃO DE MELHORIA,413200,6367.47,1.54,58660.79,14.2
11300001,Contribuição de melhoria,413200,6367.47,1.54,58660.79,14.2
11400000,RECEITA  TRIBUTÁRIA A CLASSIFICAR,0,1623919.25,0,6324585.56,0
11600000,RECEITAS A CLASSIFICAR. DAMSP,0,446.43,0,13368.13,0
12000000,RECETTAS DE CONTRIBUIÇÕES,169796800,15261183.39,8.99,85705910.38,50.48
12100000,CONBTRIBUIÇÕES SOCIAIS,0,0,0,0,0
12104600,COMPENSAÇÃO PREVIDENCIÁRIA ENTRE REGIME GERAL E OS REGIMES PROPRIOS DE PREVIDENCIA DOS SERVIDORES,0,0,0,0,0
12104601,Compensação  Previdenciária,0,0,0,0,0
12200000,CONBTRIBUIÇÕES ECONÔMICAS,169796800,15261183.39,8.99,85705910.38,50.48
12202900,CONTRIBUIÇÃO S/ O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PUBLICA . COSIP/FUNDIP,169796800,15261183.39,8.99,85705910.38,50.48
13000000,RECEITA PATRIMONIAL,623550800,25912551.94,4.16,224492359.78,36
13100000,RECEITAS IMOBILIÁRIAS,3779300,303277.97,8.02,1974576.19,52.25
13110000,ALUGUÉIS,52500,3521.6,6.71,27461.79,52.31
13119900,OUTRAS RECEITAS DE ALUGUÉIS,52500,3521.6,6.71,27461.79,52.31
13190000,OUTRAS RECEITAS IMOBILIÁRIAS,3726800,299756.37,8.04,1947114.4,52.25
13200000,RECEITAS DE VALORES MOBILIÁRIOS,571948800,24544515.83,4.29,182903439.96,3198
13220000,DIVIDENDOS,338500,723.27,0.21,1446.54,0.43
13230000,PARTICIPAÇÕES,0,0,0,0,0
13250000,REMUNERAÇÃO DE DEPOSITOS BANCARIOS,30927000,3228790.11,10.44,19498530.62,63.05
13260100,REMUNERAÇÃO DE DEPOSITOS DE RECURSOS VINCULADOS,30927000,3228790.11,10.44,19487250.05,63.01
13260101,Receita de Remuneração de Depositos Bancários de RecursosVinculados - Royalties,0,0,0,0,0
13260102,Receita de Remuneração de Depósitos Bancários de RecursosVlnculados- FUNDEB,0,1760933.41,0,4427487.49,0
13250103,Receita de Remuneração de Depósitos Bancários de Recursos Vinculados- Fundo de Saúde( SMS/FMS),21817000,1467856.7,6.73,15000686.42,68.76
13250105,Receita e Remuneração  de Depósitos Bancários de Recursos Vinculados- Manutenção e Desenvolvimento do  Ensino- MDE,0,0,0,0,0
,,,,,,
