codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES ,16510080700,1355025581.01,8.21,11898207327.12,72.07
11000000,RECEITA TRIBUTÁRIA ,7886698400,612215020.68,7.76,5463901002.59,69.28
11100000,IMPOSTOS ,7648176100,601596787.07,7.87,5331009254.18,69.7
11120000,IMPOSTOS S/ O PATRIMÔNIO E A RENDA ,3683261100,268131152.82,7.28,2724345948.8,73.97
11120200,IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URBANA ,2826920000,187565861.66,6.63,2110554745.52,74.66
11120201,Imposto s/ a Propriedade Predial ,2693037200,178792723.28,6.64,1933631404.07,71.8
11120202,Imposto s/ a Propriedade Territorial Urbana ,133882800,8773138.38,6.55,176923341.45,132.15
11120400,IMPOSTO S/ A RENDA E PROVENTOS DE QUALQUER NATUREZA ,509657800,44196491.87,8.67,360649512.06,70.76
11120431,Imposto de Renda Retido nas Fontes s/ os Rendimentos do Trabalho ,495391000,37904009.71,7.65,330537596.05,66.72
11120433,Imposto de Renda Retido nas Fontes s/ Remessa de Recursos ao Exterior ,0,0,0,0,0
11120434,Imposto de Renda Retido nas Fontes s/ Outros Rendimentos ,14266800,6292482.16,44.11,30111916.01,211.06
11120800,"IMPOSTO S/ TRANSMISSÃO ""INTER-VIVOS"" DE BENS IMÓVEIS E DE DIREITOS REAIS S/ IMÓVEIS - ITBI-IV ",346683300,36368799.29,10.49,253141691.22,73.02
11130000,IMPOSTO S/ A PRODUÇÃO E A CIRCULAÇÃO ,3964915000,333465634.25,8.41,2606663305.38,65.74
11130500,IMPOSTO S/ SERVIÇOS DE QUALQUER NATUREZA ,3964549100,333465613.49,8.41,2606583898.92,65.75
11130501,ISS ,3932621400,330200902.2,8.4,2583112887.4,65.68
11130502,ISS - Sistema Integrado - Simples ,31760300,3253783.81,10.24,23116317.97,72.78
11130503,ISS - CMSP ,167400,10927.48,6.53,354693.55,211.88
11130700,Imposto s/ Venda a Varejo de Combustíveis Líquidos e Gasosos - IVV ,365900,20.76,0.01,79406.46,21.7
11200000,TAXAS ,238335100,10917335.16,4.58,121054868.83,50.79
11210000,TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA ,196561600,9606045.58,4.89,95490731.29,48.58
11212500,"TAXA DE LICENÇA P/ FUNCIONAMENTO DE ESTABELECIMENTOS COMERCIAIS, INDÚSTRIAS E PRESTADORA DE SERVIÇOS ",80717900,3924558.31,4.86,53193894.35,65.9
11212501,"Taxa de Licença p/ Localização, Instalação e Funcionamento ",0,0,0,0,0
11212502,Taxa de Vistoria de Normas de Segurança ,0,0,0,0,0
11212503,Taxa de Fiscalização de Estabelecimentos - TFE ,80717900,3924558.31,4.86,53193894.35,65.9
11212600,TAXA DE PUBLICIDADE COMERCIAL ,57120400,1701997.47,2.98,14353190.99,25.13
11212601,Taxa de Fiscalização de Anúncios ,57120400,1701997.47,2.98,14353190.99,25.13
11213200,TAXA DE APROVAÇÃO DO PROJETO DE CONSTRUÇÃO CIVIL ,48620700,3934857.06,8.09,21546500.42,44.32
11213201,Taxa p/ Exame e Verificação de  Projetos e Construções ,48620700,3934857.06,8.09,21546500.42,44.32
11213400,TAXA DE FISCALIZAÇÃO DE APARELHOS DE TRANSPORTE ,4262600,18016.04,0.42,4107674.92,96.37
11213401,Taxa de Vistoria de Aparelhos de Transporte Vertical e Horizontal ,4262600,18016.04,0.42,4107674.92,96.37
11219900,OUTRAS TAXAS P/ EXERCÍCIO DO PODER DE POLÍCIA ,5840000,26616.7,0.46,2289470.61,39.2
