codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,14596450900,1125737620.36,771,13373611834.33,91.62
11000000,RECEITA TRIBUTÁRIA,6710025900,463286142.44,6.9,622442325328,92.76
11100000,IMPOSTOS,6233677500,497527121.78,7.98,5864881643.63,94.08
11100001,Imposto s/ Venda a Varejo de Combustíveis LIquides e Gasosos -IVV,252000,2496.91,0.99,516632.26,205.01
11120000,IMPOSTOS S/O PATRIMÔNIO E A RENDA,3170472000,188020411.34,5.93,3032382655.44,95.64
11120200,IMPOSTOS/A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,2332860300,116354892.61,4.99,2301970308.06,98.68
11120201,Imposto aia Propriedade Predial,2223976300,108500809.48,4.88,2186969250.15,98.34
11120202,Imposto e/a Propriedade Territorial Urbana,108884000,7854083.13,7.21,115001057.91,105.62
11120400,IMPOSTOS/A RENDA E PROVENTOS DE QUALQUER NATUREZA,537176900,42471407.24,7.91,459642435.52,85.57
11120431,Imposto de Renda Retido nas Fontes s/os Rendimentos do Trabalho,520593600,40174845.11,7.72,443183923.11,85.13
11120433,Imposto de Renda Retido nas Fontes s/ Remessa de Recursos ao Exterior,0,0,0,0,0
11120434,Imposto de Renda Retido nas Fontes s/ Outros Rendimentos,16583300,2296562.13,13.85,16458512.41,99.25
11120800,IMPOSTO S/ TRANSMISSÃO “INTER-VIVOS” DE BENS IMÓVEIS E DE DIREITOS REAIS S/ IMÓVEIS - ITBI-IV,300434800,29194111.49,9.72,270769911.86,90.13
11130000,IMPOSTO S/A PRODUÇÃO E A CIRCULAÇÃO,3062953500,309504213.53,10.1,2831982355.93,92.46
11130500,IMPOSTO S/ SERVIÇOS DE QUALQUER NATUREZA,3062953600,309504213.53,10.1,2831982355.93,92.46
11130501,ISS,3038179700,306793887.13,10.1,2805390383.25,92.34
11130502,ISS - Sistema Integrado - Simples,24679700,2689788.62,10.9,26433729.16,107.11
11130503,ISS-CMSP,94100,20537.78,21.83,158243.52,168.17
11200000,TAXAS,435898900,18369106.08,4.21,336302746.02,77.15
11210000,TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,237404200,4187932.59,1.76,130128968.55,54.81
11212500,"TAXA DE LICENÇA P/ FUNCIONAMENTO DE ESTABELECIMENTOS COMERCIAIS, INDÚSTRIAS E PRESTADORA DE SERVIÇOS",116427700,1278524.16,1.1,56955397.34,48.92
11212501,"Taxa de Licença p/ Localização, Instalação e Funcionamento",0,0,0,0,0
11212502,Taxa de Vistoria de Normas de Segurança,700,0,0,0,0
11212503,Taxa de Fiscalização de Estabelecimentos - TFE,116427000,1278524.16,1.1,56955397.34,48.92
11212600,TAXA DE PUBLICIDADE COMERCIAL,49288000,602871.92,1.22,36418341.22,73.89
11212601,Taxa de Fiscalização de Anúncios,49288000,602871.92,1.22,36418341.22,73.89
11213200,TAXA DE APROVAÇÃO DO PROJETO DE CONSTRUÇÃO CIVIL,48567400,2022829.83,4.16,32045099.62,65.98
11213201,Taxa p/ Exame e Verificação de Projetos e Construções,48567400,2022829.83,4.16,32045099.62,65.98
11213400,TAXA DE FISCALIZAÇÃO DE APARELHOS DE TRANSPORTE,3914200,9726.85,0.25,3798415.09,97.04
11213401,Taxa de Vistoria de Aparelhos de Transporte Vertical e Horizontal,3914200,9726.85,0.25,3798415.09,97.04
11219900,OUTRAS TAXAS P/ EXERCÍCIO DO PODER DE POLÍCIA,19206900,273979.83,1.43,911715.28,4.75
11219901,Taxa de Licença p/ Tráfego de Veículos,57400,2009.22,3.5,21519.94,37.49
11219902,Taxa de Licença p/ Arruamentos e Loteamentos,33000,700.07,2.12,20205.8,61.23
11219903,Taxa de Fiscalização dos Serviços de Limpeza Urbana - FISLURB,17500000,264042.85,1.51,689935.33,3.94
11219904,Taxa de Remoção - CET,1616500,7227.69,0.45,180054.21,11.14
11220000,TAXA PELA PRESTAÇÃO DE SERVIÇOS,198494700,14181173.49,7.14,206173777.47,103.87
11229000,TAXA DE LIMPEZA PÚBLICA,198201000,14165216.2,7.15,205960245.81,103.91
11229001,Taxa de Limpeza Pública,0,2508.24,0,223803.64,0
11229002,Taxa de Resíduos Sólidos DomiciIiares - TRSD,192000000,13765039.66,7.17,200377590.61,104.36
11229003,Taxa de Resíduos Sólidos de Serviços de Saúde - TRSS,6201000,397668.3,6.41,5358851.56,86.42
11229900,OUTRAS TAXAS PELA PRESTAÇÃO DE SERVIÇOS,293700,15957.29,5.43,213531.66,72.7
11229901,Taxa de Conservação de Vias e Logradouros Püblicos,0,658.37,0,32124.37,0
11229902,Taxa de Estudos p/ Fixação de Diretrizes,293700,6069.78,2.07,106358.17,36.21
11229903,Taxa de Combates Sinistros,0,9229.14,0,75049.12,0
11300000,CONTRIBUIÇÃO DE MELHORIA,449500,1837.03,0.41,61276.98,13.63
11300001,Contribuição de Melhoria,449500,1837.03,0.41,61276.98,13.63
11400000,RECEITA TRIBUTÁRIA A CLASSIFICAR,0,52633332.43,0,22022554.67,0
11500000,RECEITAS A CLASSIFICAR - DAMSP,0,21409.98,0,1155031.98,0
11600000,RECEITAS A CLASSIFICAR - DEPÓSITOS JUDICIAIS,40000000,0,0,0,0
12000000,RECEITAS DE CONTRIBUIÇÕES,187900000,13469810.22,7.17,152063058.23,80.9
12100000,CONTRIBUIÇÕES SOCIAIS,0,0,0,0,0
12104600,COMPENSAÇÃO PREVIDENCIÁRIA ENTRE REGIME GERAL E OS REGIMES PRÓPRIOS DE PREVIDÉNCIA DOS SERVIDORES,0,0,0,0,0
12104601,Compensação Previdenciária,0,0,0,0,0
12200000,CONTRIBUIÇÕES ECONÔMICAS,187960000,13469810.22,7.17,152063058.23,80.9
12202900,CONTR1BUIÇÃO P/O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÜBLICA - COSIP/FUNDIP,187960000,13469810.22,7.17,152063058.23,80.9
13000000,RECEITA PATRIMONIAL,195017200,37726959.49,19.35,323505362.36,165.89
13100000,RECEITAS IMOBILIÁRIAS,1800700,164605.07,9.14,1537774.96,85.4
13110000,ALUGUÉIS,11300,4117.53,36.44,52018.2,460.34
13119900,OUTRAS RECEITAS DE ALUGUÉIS,11300,4117.53,36.44,52018.2,460.34
13190000,OUTRAS RECEITAS IMOBILIÁRIAS,1789400,160487.54,8.97,1485756.76,83.03
13200000,RECEITAS DE VALORES MOBILIÁRIOS,149385600,35574401.05,23.81,303045505,202.86
13210000,JUROS DE TÍTULOS DE RENDAS,133443300,32686264.57,24.49,278503602.03,208.71
13210001,PMSP,116349800,30318625.99,26.06,261849610.49,225.05
13210002,Cãmara Municipal de São Paulo,791000,0,0,400120.61,50.58
13210003,Tribunal de Contas do Município de São Paulo,427200,61564.96,14.41,557154.08,130.42
13210004,CEF-ValorBloqueado,0,0,0,0,0
13210005,Operação Urbana Feria Lima,0,0,0,0,0
13210006,Operações Interligadas,0,0,0,1045236.57,0
13210007,Operação Urbana Anhangabaú,0,0,0,0,0
13210008,Fundo Especial Operação Urbana Água Branca - FEAB,0,0,0,0,0
,,,,,,
13210009,FEHIDRO - Fundo Estadual de Recursos Hídricos,0,0,0,0,0
13210010,Programa Nacional de Alimentação Escolar - PNAE/FNDE,1016500,68322.82,6.72,968211.11,95.25
13210011,Convênio PMSP - Ministério da Integração Nacional - SEDEC,0,0,0,0,0
13210012,Convênio Genebra - SVMA,0,0,0,0,0
13210013,Contribuição para o Custeio do Serviço de Iluminação Pública -COSIP/FUNDIP,0,343436.17,0,4347303.84,0
13210014,Convênio Secretaria Nacional de Segurança Pública - SENASP nº161/02,0,0,0,0,0
13210015,Programa Nacional de Alimentação Escolar -PNAE-Creche-SEMAB-FNDE,43600,5700.7,13.07,131521.86,301.66
13210016,Incentivo p/a Atenção à Saúde no Sistema Penitenciário SUS/FNS,0,0,0,0,0
13210017,Projetos Municipais de Expansão da Saúde da Família - Proesf FNS/FMS (FUMDES),0,0,0,0,0
13210018,Projeto Mais Esporte no Segundo Tempo (Convênio - ME/PMSP nº60/2003),0,-80766.4,0,0,0
13210019,Programa de Assistência Farmacêutica Básica do Estado de São Paulo - Dose Certa,0,0,0,825.04,0
13210020,Convênio n°800072103 - FNDE/MEC - Educação Pré-Escolar,7400,0,0,0,0
13210021,Convênio no 804142/03 - FNDE/MEC - Ensino Fundamental,0,0,0,37529.65,0
13210022,Convênio n° 808065/03 - FNDE/MEC- Educação de Jovens e Adultos,25500,0,0,0,0
13210023,Fundo Especial de Despesas da Câmara Municipal de São Paulo,0,0,0,0,0
13210024,Plano Municipal de Qualificação Social e Profissional - PNQ/TEM,12200,0,0,28401.48,232.8
13210025,Programa Socioeducativo em Meio Aberto - Espaço Amigo - SAS,0,0,0,0,0
13210026,Programa Ação de Inclusão Social e Proteção Especial - SAS,0,0,0,0,0
13210027,Programa PPD - Segmento Pessoa com Deficiência - SAS,0,0,0,0,0
13210028,Projeto Mais Esporte no Combate à Fome - Petrobras/SEME,2000,0,0,0,0
