codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
100000000000,RECEITAS CORRENTES,35622340251,2837980492.73,7.97,27733080231.53,77.85
110000000000,RECEITA TRIBUTÁRIA,17802795320,1439194560.52,8.08,14116697016.77,79.29
111000000000,IMPOSTOS,17550267955,1421030388.7,8.1,13911480445.53,79.27
111200000000,IMPOSTOS S/ O PATRIMÔNIO E A RENDA,7845700493,598973243.49,7.63,6545548424.71,83.43
111202000000,IMPOSTO S/ A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,5323726736,376404017.32,7.07,4658114897.24,87.5
111202010000,IMPOSTO S/ A PROPRIEDADE PREDIAL,5081910187,361926249.27,7.12,4451524720.42,87.6
111202020000,IMPOSTO S/ A PROPRIEDADE TERRITORIAL URBANA,241816549,14477768.05,5.99,206590176.82,85.43
111204000000,IMPOSTO S/ A RENDA E PROVENTOS DE QUALQUER NATUREZA,1223306663,101942556.96,8.33,869558796.8,71.08
111204310000,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OS RENDIMENTOS DO TRABALHO,1003448296,82608473.74,8.23,711377879.1,70.89
111204330000,IMPOSTO DE RENDA RETIDO NAS FONTES S/ REMESSA DE RECURSOS AO EXTERIOR,1051830,12642.12,1.2,793012.44,75.39
111204340000,IMPOSTO DE RENDA RETIDO NAS FONTES S/ OUTROS RENDIMENTOS,218806537,19321441.1,8.83,157387905.26,71.93
111208000000,IMPOSTO S/ TRANS. INTER-VIVOS  DE BENS IMÓVEIS E DIR. REAIS S/ IMÓVEIS,1298667094,120626669.21,9.29,1017874730.67,78.38
111208010000,IMPOSTO S/ TRANS. INTER-VIVOS  DE BENS IMÓVEIS E DIR. REAIS S/ IMÓVEIS,1298667094,120626669.21,9.29,1017874730.67,78.38
111300000000,IMPOSTO S/ A PRODUÇÃO E A CIRCULAÇÃO,9704567462,822057145.21,8.47,7365932020.82,75.9
111305000000,IMPOSTO S/ SERVIÇOS DE QUALQUER NATUREZA,9704563939,822057145.21,8.47,7365932020.82,75.9
111305010000,IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA,8890824099,750253549.89,8.44,6728402654.91,75.68
