codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes,pct_ate_o_mes_sobre_o_orcado
10000000,RECEITAS CORRENTES,18923028900,"1.581.151 .180,32",8.36,5562588388.63,29.4
11000000,RECEITA TRIBUTÁRIA,9202355600,694140476.14,7.54,2525290392.6,27.44
11100000,IMPOSTOS,8977125800,686877043.77,7.65,2502215972.17,27.87
11120000,Impostos s/ o Patrimônio e a Renda ,3897905100,"352.935,288,69",9.05,1414526319.77,36.29
11120200,IMPOSTOS / A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,2925146100,259909090.03,8.89,1168515917.25,39.95
11120201,lmpostos / a Propriedade Predial,2781029600,239912007.37,8.63,111043655.01,39.95
11120202,lmposto s/ a Propriedade Tenitorial Urbana,144116500,19997082.66,13.88,57472262.24,39.88
11120400,IMPOSTO S /A RENDA E PROVENTOS DE OUALOUER NATUREZA,565764200,48374821.6,8.55,147581936.97,26.09
11120431,lmposto de Renda Retido nas Fontes s/ os Rendimentos do trabalho,532583200,41270679.13,7.75,126842724.06,23.82
11120433,lmposto de Renda Retido nas Fontes s/ Remessa de Recursos ao exterior,0,0,0,0,0
11120434,lmposto de Renda Retido nas Fontes s/ Outros Rendimentos,33181000,7103942.41,21.41,20739212.91,62.5
11120800,IMPOSTO S /TRANSMISSAO INTER-VIVOS DE BENS lMOVElS E DE DIREITOS REAIS S / IMOVEIS.ITBI.IV,406994800,44651377,10.97,98428465.55,24.18
11130000,IMPOSTO S/ A PRODUQAO E A CIRCULAÇÃO,5079220700,333941755.08,6.57,1087689652.4,21.41
11130500,IMPOSTO S/ SERVIÇOS DE OUALQUER NATUREZA,5079097800,333941749.91,6.57,1087689607.23,21.42
11130501,ISS,5044994000,330723214.24,6.56,1078990138.91,21.39
11130502,ISS - Sistemal Integrado- Simples,33647700,3218635.67,9.57,8566548.12,25.46
11130503,ISS - CMSP,456100,0,0,132922.2,29.14
11130700,lmpostos / Venda a Varejo De Combustiveis Liquidos e Gasosos. IVV,122900,5.17,0,45.17,0.04
11200000,TAXAS,224816600,6418105.43,2.85,17403866.25,7.74
11210000,TAXAS PELO EXERCICIO  DO PODER DE POLICIA,177632200,5413132.87,3.05,13820890.85,7
11212500,"TAXA DE LICENÇA.P/ O  FUNCIONAMENTO DE ESTABELECIMENTOS COMERCIAIS, INDUSTRIAIS E PRESTADORAS DE SERVIÇOS",97260500,1121314.68,1.15,3482672.82,7.78
11212601,Taxa de Licença p/ Localização lnstalação e Funcionamento,0,0,0,0,3.58
11212502,Taxa de Vistoria de Normas do Segurança,0,0,0,0,0
11212503,Taxa de Fiscalização de Estabelecimentos TFE,97260500,1121314.68,1.15,3482672.82,0
11212600,TAXA DE PUBLICIDADE COMERCIAL,40000000,365376.24,0.91,931683.78,3.58
11212601,Taxa de Fiscalização de Anuncios,"40.000,000,00",365376.24,0.91,931683.78,2.33
11213200,TAXA DE APROVAÇÃO DO PROJETO DE CONSTRUÇÃO CIVIL,32094900,3389381.1,10.56,8825958.1,27.5
11213201,Taxa p/ Exame e Verificação de Projetos e Construções,32094900,3389381.1,10.56,8825956.1,27.5
11213400,TAXA DE FISCALIZAÇÃO DE APARELHOS DE TRANSPORTE,4499900,9629.9,0.21,23022.86,0.51
11213401,Taxa de Vistoria de Aparelhos de Transporte Vertical e Horizontal,4499900,9629.9,0.21,23022.86,0.51
11219900,OUTRAS TAXAS P / EXERCICIO DO PODER DE POLICIA,3776900,527.430.95,13.96,557563.29,14.76
11219901,Taxa de Licença p/Trafego de Veículos,82200,0,0,0,0
11219902,Taxa de Licença p/ Arruamentos e Loteamentos,14400,0,0,48.54,0.34
11219903,Taxa de Fiscalização dos Servigos de Limpeza Urbana- FISLURB,2082900,522446.95,25.08,542528.51,26.05
11219904,Taxa do Remoção - CET,1597400,"4,984,00",0.31,14986.24,0.94
11220000,TAXAS PELA PRESTAÇÃO DE SERVISOS,47184400,1004972.56,2.13,3582967.57,7.59
11229000,TAXA DE LIMPEZA PUBLICA,46961700,925177.3,1.97,3411186.57,7.26
11229001,Taxa de Limpeza Pulblica,0,4126.76,0,8487.34,0
11229002,Taxa de Residuos Sólidos Domiciliares- TRSD,580200,581759.47,100.27,1792084.05,308.87
11229003,Taxa de Resíduos Sólidos de Serviços de Saúde - TRSS,46381500,339291.07,0.73,1610615.18,3.47
11229900,OUTRAS TAXAS PELA PRESTAÇÃO DE SERVIÇOS,222700,79795.26,35.83,171780.83,77.14
11229901,Taxa de Conservação de  Vias e Logradouros Púlblicos,0,493.46,0,1479.66,0
11229902,Taxa de Estudos p / Fixação de Diretrizes,222700,69916.72,31.4,144972.99,65.1
11229903,Taxa de Combate a Sinistros,0,9385.08,0,25328.28,0
11300000,CONTRIBIIÇÃO DE MELHORIA,413200,13276.02,3.21,34028.84,8.24
11300001,Contribuição de melhoria,413200,"13,276,02",3.21,34028.84,8.24
